"63yKj3bpZUCWcJ4Xh6Ygl1","0.589","0.151","0.3593900031609144","0.0727","0.645","0","0.679","0.7364532957617761","0.796","[0, 0, 0, 1]"
"3zDNawOBsMoGKjbiq3MIHb","0.786","0.035","0.5121754844250417","0.0511","0.0102","0","0.451","0.8773847149765812","0.313","[0, 0, 1, 0]"
"0qHrE21zGV4DThyfx0HdFu","0.659","0.0892","0.38658579496997136","0.027","0.487","0.0808","0.534","0.7262099691557823","0.498","[1, 0, 0, 0]"
"7flQESHoCoDzirWF4IkKGq","0.397","0.185","0.9478568403976788","0.0558","0.982","0.804","0.417","0.5965880964167396","0.754","[0, 1, 0, 0]"
"32QCu5LlSmTKktXgyMWpEu","0.984","0.0718","0.5059610074370948","0.0732","0.00659","0.687","0.687","0.8622291611134381","0.433","[0, 0, 1, 0]"
"18S9oYAd39Y1EkvQM0wKLF","0.323","0.219","0.24884745904230254","0.0369","0.529","0","0.55","0.6696622367769697","0.587","[0, 0, 0, 1]"
"4xiSbWwmZs7SezOl0n0gc3","0.702","0.16","0.4417348052459251","0.0304","0.34","0.946","0.671","0.5865351662160618","0.965","[0, 1, 0, 0]"
"3hY3MPL9hAITPgVfiVlL5K","0.163","0.116","0.2735622312477262","0.0547","0.926","0.861","0.581","0.4088953200563574","0.443","[0, 1, 0, 0]"
"4uOKFydzAejjSFqYbv1XPt","0.468","0.269","0.27963357248930953","0.0476","0.00414","1.32e-05","0.857","0.7166520696089257","0.836","[0, 0, 0, 1]"
"59UplcfLA9kx5tlJFfVzau","0.66","0.244","0.8209670012464738","0.0848","0.276","0.00231","0.645","0.7078176764022694","0.636","[0, 0, 1, 0]"
"02E0dSRldGrrrJyTY7O4uA","0.726","0.266","0.4872937205155273","0.137","0.476","0","0.435","0.8071665206960893","0.567","[0, 0, 1, 0]"
"6ipZfr1msvNOxyroHB0s3w","0.349","0.274","0.40622521216892404","0.0428","0.879","0","0.401","0.6890445908381249","0.578","[0, 1, 0, 0]"
"0bXYuqEm4kRuEE8h9BLYYm","0.867","0.0779","0.5055375641874362","0.0724","0.0921","1.43e-05","0.846","0.894901184265641","0.808","[0, 0, 0, 1]"
"5LaTsDrhrpXwLniidLpnF7","0.14","0.0688","0.11645285764553627","0.045","0.901","0.874","0.368","0.47008872472487717","0.172","[0, 1, 0, 0]"
"3J10F4lCEb7vdStCZN27z6","0.459","0.189","0.35907987571046024","0.0322","0.501","0.0379","0.572","0.5152126727847378","0.444","[0, 1, 0, 0]"
"4cUgsvo0xRu0JQXIhxcXkZ","0.594","0.106","0.2649502305081915","0.234","0.822","0.861","0.615","0.5952172422984654","0.576","[0, 1, 0, 0]"
"0EkUyOK86EFRcuoxATBZ1C","0.811","0.283","0.22529566477608198","0.0392","0.0648","0.00323","0.569","0.816343627432314","0.834","[1, 0, 0, 0]"
"0g6azQIxHsHFBoDD7BI3jz","0.92","0.251","0.7031603179999165","0.0392","0.041","0","0.418","0.8639046494802177","0.719","[1, 0, 0, 0]"
